Name, LATITUDE, LONGITUDE
ML5, 13.1344413, -59.6291024
ML4,
BSR,
LT1,
LT2,
LT3,
LT4,
LR1,
LR2,
LR3,
LR4,
LR5,
LR6,
LR7,
LR8,
LR9,
LR10,
LR11,
ALT,
CSR,
NCSR,
